,DATE,WILLREITIND,Index
186,1978/9/18,121.13,.
187,1978/9/19,121.13,.
188,1978/9/20,121.13,.
189,1978/9/21,121.13,.
190,1978/9/22,121.13,.
191,1978/9/25,121.13,.
192,1978/9/26,121.13,.
193,1978/9/27,121.13,.
194,1978/9/28,121.13,.
195,1978/9/29,122.23,122.23
196,1978/10/2,122.23,122.23
197,1978/10/3,122.23,.
198,1978/10/4,122.23,.
199,1978/10/5,122.23,.
200,1978/10/6,122.23,.
201,1978/10/9,122.23,.
202,1978/10/10,122.23,.
203,1978/10/11,122.23,.
204,1978/10/12,122.23,.
205,1978/10/13,122.23,.
206,1978/10/16,122.23,.
207,1978/10/17,122.23,.
208,1978/10/18,122.23,.
209,1978/10/19,122.23,.
210,1978/10/20,122.23,.
211,1978/10/23,122.23,.
212,1978/10/24,122.23,.
213,1978/10/25,122.23,.
214,1978/10/26,122.23,.
215,1978/10/27,122.23,.
216,1978/10/30,122.23,.
217,1978/10/31,103.51,103.51
218,1978/11/1,103.51,103.51
219,1978/11/2,103.51,.
220,1978/11/3,103.51,.
221,1978/11/6,103.51,.
222,1978/11/7,103.51,.
223,1978/11/8,103.51,.
224,1978/11/9,103.51,.
225,1978/11/10,103.51,.
226,1978/11/13,103.51,.
227,1978/11/14,103.51,.
228,1978/11/15,103.51,.
229,1978/11/16,103.51,.
230,1978/11/17,103.51,.
231,1978/11/20,103.51,.
232,1978/11/21,103.51,.
233,1978/11/22,103.51,.
234,1978/11/23,103.51,.
235,1978/11/24,103.51,.
236,1978/11/27,103.51,.
237,1978/11/28,103.51,.
238,1978/11/29,103.51,.
239,1978/11/30,107.16,107.16
240,1978/12/1,107.16,107.16
241,1978/12/4,107.16,.
242,1978/12/5,107.16,.
243,1978/12/6,107.16,.
244,1978/12/7,107.16,.
245,1978/12/8,107.16,.
246,1978/12/11,107.16,.
247,1978/12/12,107.16,.
248,1978/12/13,107.16,.
249,1978/12/14,107.16,.
250,1978/12/15,107.16,.
251,1978/12/18,107.16,.
252,1978/12/19,107.16,.
